Latitude, Longitude, Data Value
43, -32, -57.2066
43, -31, -3.54603
43, -30, 29.0285
43, -29, 55.0344
43, -28, 33.0739
43, -27, 29.3829
43, -26, -2.87254
43, -25, 3.29805
43, -24, 29.0225
43, -23, 50.0677
42, -85, -999
42, -84, -999
42, -83, -999
42, -82, -999
42, -81, -999
42, -80, -999
42, -79, -999
42, -78, -999
42, -77, -999
42, -76, -999
42, -75, -999
42, -74, -999
42, -73, -999
42, -72, -999
42, -71, -999
42, -70, 48.2729
42, -69, 59.3645
42, -68, 80.2911
42, -67, 86.338
42, -66, 62.9688
42, -65, 17.1
42, -64, -19.2498
42, -63, -21.8135
42, -62, -30.2965
42, -61, -63.439
42, -60, -20.466
42, -59, 149.131
42, -58, 160.423
42, -57, -87.6004
42, -56, -190.735
42, -55, -186.721
42, -54, -117.162
42, -53, 2.4856
42, -52, -6.85935
42, -51, -112.741
42, -50, -180.01
42, -49, -148.187
42, -48, -134.684
42, -47, 8.11111
42, -46, 169.027
42, -45, 211.747
42, -44, 158.474
42, -43, 125.179
42, -42, 154.431
42, -41, 95.9653
42, -40, -40.6482
42, -39, -115.25
42, -38, -93.3686
42, -37, -48.7999
42, -36, 18.2274
42, -35, 69.4853
42, -34, 105.849
42, -33, 98.1615
42, -32, 113.688
42, -31, 153.531
42, -30, 107.215
42, -29, 66.5075
42, -28, 24.0424
42, -27, 15.9929
42, -26, 0.600245
42, -25, -3.01537
42, -24, 27.5176
42, -23, 53.9674
41, -85, -999
41, -84, -999
41, -83, -999
41, -82, -999
41, -81, -999
41, -80, -999
41, -79, -999
41, -78, -999
41, -77, -999
41, -76, -999
41, -75, -999
41, -74, -999
41, -73, 29.4284
41, -72, 50.823
41, -71, 45.949
41, -70, 46.5833
41, -69, 47.994
41, -68, 22.6697
41, -67, 130.782
41, -66, 128.145
41, -65, -74.9062
41, -64, -151.794
41, -63, -184.07
41, -62, -120.125
41, -61, -13.5134
41, -60, -3.52609
41, -59, 243.968
41, -58, 403.441
41, -57, 15.9392
41, -56, -291.565
41, -55, -313.29
41, -54, -107.953
41, -53, 371.376
41, -52, 406.412
41, -51, -162.94
41, -50, -287.292
41, -49, -176.755
41, -48, -127.569
41, -47, -26.6885
41, -46, 33.7266
41, -45, -10.0649
41, -44, 45.2999
